config,sat_bound,step,entries,kb,bram_pct,max_error_lsb,fixed_acc,acc_drop_pp,agreement
float tanh (reference),,,,,,,0.6748,0.01,0.9999
z=Q4.12 full exact,full,1,32769,64.0,1.381,1,0.6749,0.01,0.9999
z=Q4.12 sat=6 exact,6,1,24577,48.0,1.036,1,0.6749,0.01,0.9999
z=Q4.12 sat=5 exact,5,1,20481,40.0,0.863,3,0.6749,0.01,0.9999
z=Q4.12 sat=4 exact,4,1,16385,32.0,0.69,22,0.675,-0.01,0.9999
z=Q4.12 sat=3 exact,3,1,12289,24.0,0.518,162,0.6755,-0.05,0.9977
z=Q4.12 sat=2 exact,2,1,8193,16.0,0.345,1179,0.6738,0.12,0.9802
z=Q4.12 sat=6 step=16,6,16,1538,3.0,0.065,1,0.6749,0.01,0.9999
z=Q4.12 sat=6 step=64,6,64,386,0.75,0.016,2,0.6749,0.01,0.9999
z=Q4.12 sat=6 step=256,6,256,98,0.19,0.004,13,0.6749,0.01,0.9999
z=Q4.12 sat=6 step=1024,6,1024,26,0.05,0.001,196,0.6752,-0.02,0.9979
z=Q4.12 sat=4 step=16,4,16,1026,2.0,0.043,22,0.675,-0.01,0.9999
z=Q4.12 sat=4 step=64,4,64,258,0.5,0.011,22,0.675,-0.01,0.9999
z=Q4.12 sat=4 step=256,4,256,66,0.13,0.003,22,0.675,-0.01,0.9999
z=Q4.12 sat=4 step=1024,4,1024,18,0.04,0.001,196,0.6752,-0.03,0.9981
z=Q4.12 sat=4 step=4096,4,4096,6,0.01,0.0,2679,0.6738,0.12,0.9641
z=Q4.12 sat=3 step=256,3,256,50,0.1,0.002,162,0.6755,-0.05,0.9977
z=Q4.12 sat=2 step=256,2,256,34,0.07,0.001,1179,0.6739,0.11,0.9806
z=Q4.12 sat=1 step=64,1,64,66,0.13,0.003,7812,0.6586,1.64,0.8788
